"asset_id","module","type","working_title","duration_target","script_status","content_review","safety_review","shoot_status","edit_status","publish_status"
"LC-M10-SIM","10","simulation-briefing","Ticho neznamená odpor","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M11-MASTER","11","masterclass","Sebedůvěra z důkazů, ne z afirmací","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M11-LAB","11","lab-briefing","Učební smyčka 14 dní","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M11-SIM","11","simulation-briefing","„Když chceš, dokážeš všechno“","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M12-MASTER","12","masterclass","Mindfulness se souhlasem a stop pravidlem","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M12-LAB","12","lab-briefing","Menu pěti cest pozornosti","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M12-SIM","12","simulation-briefing","Meditace zhoršuje stav","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M13-MASTER","13","masterclass","Reframing bez toxické pozitivity","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M13-LAB","13","lab-briefing","Dvacet přesných přepisů","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M13-SIM","13","simulation-briefing","Toxická pozitivita","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M14-MASTER","14","masterclass","Emoce nejsou selhání ani příkaz","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M14-LAB","14","lab-briefing","Řetězec emoce a plán bodu volby","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M14-SIM","14","simulation-briefing","„Vezmi si zpět moc nad emocí“","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M15-MASTER","15","masterclass","Přesvědčení, které možná chrání","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M15-LAB","15","lab-briefing","Audit jednoho pravidla","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M15-SIM","15","simulation-briefing","Přesvědčení chrání klientku","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M16-MASTER","16","masterclass","Rozhodnutí bez nátlaku na odvahu","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M16-LAB","16","lab-briefing","Rozhodovací memo a fear setting","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M16-SIM","16","simulation-briefing","Koučka nesmí tlačit do odvahy","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M17-MASTER","17","masterclass","Od řemesla k pravdivé nabídce","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M17-LAB","17","lab-briefing","Kompletní nabídka a portfolio","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M17-SIM","17","simulation-briefing","Dvě celá sezení a obhajoba podnikání","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
